	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock
AATBC	1	6	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	2	0	0
AATF	379	164	201	17	31	103	437	2	1576	0	75	83	144	34	30	30	4	671	0	29
AATK	16	4	4	0	0	0	3	0	26	0	0	7	1	1	0	0	0	14	0	0
ABALON	2	1	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	3	0	0
ABAT	89	37	53	5	9	52	148	2	75	0	24	32	37	5	0	15	1	74	0	3
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABBA01006766.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	7	3	4	0	0	11	31	0	4	0	4	5	0	4	15	7	0	21	1	7
ABCA10	11	7	4	0	0	1	7	0	5	0	0	4	3	0	0	0	0	4	0	0
ABCA11P	1	2	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	2	0	3
ABCA12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	2	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0
ABCA2	313	82	80	0	41	126	163	82	213	48	30	114	89	60	21	40	77	348	56	46
ABCA3	52	11	23	0	1	7	70	0	72	0	4	14	8	5	0	0	6	86	0	7
ABCA4	6	1	0	0	0	0	0	4	0	2	4	0	1	1	0	0	1	0	5	1
ABCA5	157	133	35	0	13	57	151	8	73	14	45	57	91	12	9	5	33	86	22	24
ABCA6	34	19	8	0	3	27	66	0	16	0	11	6	26	1	0	0	0	13	0	0
ABCA7	1448	494	583	36	122	886	2276	16	1370	0	323	516	555	67	75	124	31	817	0	166
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	3	7	2	0	4	2	2	0	0	0	0	4	7	0	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	51	6	22	0	14	83	146	1	32	3	36	27	6	14	4	4	9	89	6	4
ABCB10	105	65	34	7	4	103	154	0	44	0	20	39	37	7	13	6	8	180	0	8
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	66	18	35	0	13	102	245	0	54	0	53	28	19	12	0	20	8	89	0	29
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	10	5	1	0	0	0	17	0	11	0	0	3	4	1	0	4	0	1	0	0
ABCB7	219	133	97	22	7	103	308	19	342	37	58	75	101	31	10	45	23	194	63	25
ABCB8	228	94	74	13	4	58	193	3	657	0	25	52	80	20	0	25	10	310	0	4
ABCB9	73	63	20	11	9	10	19	6	77	6	5	23	71	5	7	0	2	35	20	7
ABCC1	236	90	92	12	11	85	255	4	153	0	36	80	57	16	15	35	2	491	0	15
ABCC10	199	110	64	0	17	94	226	0	188	0	30	48	83	14	6	19	0	231	0	12
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	18	6	7	0	9	19	86	0	11	0	23	8	11	1	0	9	2	26	0	3
ABCC3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	5	0	0
ABCC4	32	11	4	0	0	9	23	0	20	0	18	10	14	3	0	0	5	62	0	0
ABCC5	283	204	155	10	62	187	238	165	62	180	121	179	185	111	11	115	181	230	311	105
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	2	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	118	33	28	0	5	16	50	0	132	0	18	44	23	5	4	3	4	109	0	0
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	20	15	0	0	0	0	2	0	4	0	0	9	9	0	0	0	0	28	0	0
ABCD3	189	107	48	2	19	64	163	39	107	29	20	103	92	22	6	50	24	175	53	37
ABCD4	348	98	118	16	21	144	458	5	647	6	71	96	121	35	2	29	15	473	5	34
ABCE1	485	327	208	37	100	334	457	196	450	188	160	222	231	101	38	229	96	595	267	133
ABCF1	377	197	184	9	13	211	452	2	904	0	101	102	150	45	22	39	11	662	0	26
ABCF2	74	44	41	11	14	42	110	1	455	0	37	23	30	9	0	12	4	183	2	10
ABCF2-H2BE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P1	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	338	136	126	5	6	155	366	2	641	0	51	94	106	47	0	24	2	415	0	18
ABCG1	66	15	10	0	4	2	44	2	78	1	26	33	22	2	0	7	5	102	1	1
ABCG2	2	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0
ABCG4	0	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	5	1	0	0	0	5	2	0	0	0	6	0	1	0	0	0	0	6	0	0
ABHD10	190	83	49	6	9	70	221	4	307	0	31	54	63	14	7	22	3	226	0	14
ABHD11	49	15	24	0	0	15	80	0	262	0	10	14	16	6	0	2	0	121	0	0
ABHD11-AS1	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0
ABHD12	236	91	81	15	8	54	157	4	409	26	27	48	82	24	0	23	17	252	17	29
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	92	49	32	0	5	41	74	0	65	0	19	37	46	4	6	15	0	94	0	1
ABHD14A	51	9	15	0	0	12	21	0	87	0	14	6	14	3	0	10	3	31	0	4
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	554	133	153	40	36	118	480	3	1429	0	63	142	118	51	27	18	25	603	1	20
ABHD15	220	56	65	0	4	65	187	0	224	0	29	64	54	11	0	9	2	228	0	6
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	6	2	1	0	0	7	8	0	2	0	0	6	8	1	0	0	0	14	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	1213	345	388	0	37	281	914	5	2725	0	118	359	326	87	34	62	9	1614	0	44
ABHD17AP1	5	2	1	0	0	1	1	0	14	0	0	1	3	1	1	2	0	3	0	0
ABHD17AP3	1	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	0	3	0	0
ABHD17AP4	1	2	1	0	0	0	35	0	2	0	0	0	2	0	5	0	0	7	0	0
ABHD17AP5	73	8	9	7	0	45	52	0	20	0	8	16	7	1	0	18	0	29	0	8
ABHD17AP6	3	0	2	0	0	0	4	0	6	0	0	2	0	0	0	0	0	2	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	234	123	57	0	26	84	194	65	75	71	49	143	126	43	7	78	46	177	77	39
ABHD17C	242	120	90	5	17	112	58	140	12	102	20	129	105	75	9	72	76	137	155	35
ABHD18	79	47	25	0	8	27	84	0	43	0	11	32	28	1	0	7	0	102	0	4
ABHD2	211	139	99	6	29	128	249	38	182	61	48	66	85	32	9	34	16	386	70	35
ABHD3	152	92	40	0	2	22	117	0	111	0	8	81	72	6	0	4	2	145	0	0
ABHD4	329	107	132	0	11	67	250	15	246	8	31	78	94	20	0	22	10	183	18	24
ABHD5	28	18	5	0	0	5	22	0	44	0	4	5	12	1	0	0	0	57	1	2
ABHD6	83	35	25	0	10	26	148	0	160	0	49	29	27	2	0	4	0	105	0	6
ABHD8	132	56	51	7	0	48	122	0	307	0	28	39	63	15	0	6	5	184	0	5
ABI1	848	430	316	28	45	399	755	259	526	193	207	349	380	167	52	169	161	687	246	168
ABI1P1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI2	151	56	51	8	5	82	129	19	150	17	46	56	54	16	0	31	16	165	26	18
ABI3	425	93	181	22	5	53	136	3	1757	0	8	91	85	19	8	7	1	723	0	12
ABI3BP	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ABITRAM	50	27	18	7	0	10	45	0	65	0	5	16	10	2	0	0	1	67	0	4
ABITRAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	422	227	217	21	40	172	478	87	368	63	140	116	167	66	10	55	40	420	81	82
ABL2	148	117	84	0	42	191	228	136	51	132	52	80	96	40	9	119	73	176	173	95
ABLIM1	794	247	297	33	37	436	1132	10	496	7	171	234	150	82	12	128	18	897	10	93
ABLIM2	13	1	4	0	4	6	45	0	18	2	11	2	2	6	0	4	0	55	1	0
ABLIM3	19	8	9	0	0	0	6	0	4	3	1	5	2	2	1	0	1	2	12	0
ABO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	267	151	120	4	18	175	372	26	132	21	88	75	85	42	30	54	35	346	48	45
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	222	75	89	7	0	54	177	1	602	0	25	88	85	30	20	18	6	456	0	0
ABRAXAS1	39	29	15	0	0	46	88	0	35	0	17	25	30	0	0	15	0	50	0	2
ABRAXAS2	260	156	118	10	16	165	210	85	265	68	46	94	123	49	20	38	44	226	92	41
ABT1	354	123	130	6	17	118	333	0	782	0	36	122	105	40	0	13	2	491	0	4
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	436	93	186	19	16	151	598	1	735	0	73	147	125	67	16	61	9	706	0	35
ABTB2	190	134	128	0	8	65	162	13	126	6	22	38	81	9	15	7	8	86	27	28
AC000032.1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC000035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000061.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	3	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0
AC000068.2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC000068.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000072.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.1	0	1	1	0	0	2	6	0	0	0	0	0	0	1	0	0	0	1	0	0
AC000081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000082.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000085.1	0	1	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	3	0	0
AC000089.1	21	8	1	2	1	1	7	0	32	0	0	1	5	2	1	0	3	7	0	2
AC000093.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
AC000111.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000113.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC000120.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC000120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.1	4	6	0	0	5	2	13	0	3	0	0	1	0	0	0	0	0	8	0	0
AC000123.2	2	1	0	0	0	3	9	0	8	0	4	0	0	0	0	0	0	4	0	0
AC000123.3	15	8	2	0	0	17	40	0	0	0	5	4	6	3	0	0	1	12	0	10
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001226.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001226.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002056.1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0
AC002056.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
AC002059.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC002059.3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC002072.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002074.1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.2	10	3	4	0	0	0	0	0	14	0	1	1	1	2	2	2	1	5	0	2
AC002076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002076.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002091.1	8	9	3	5	0	4	7	0	4	0	5	2	1	0	0	0	0	2	0	3
AC002091.2	11	12	2	0	0	1	5	0	0	0	4	2	4	0	0	4	0	3	0	3
AC002094.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
AC002094.5	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0
AC002101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	3	1	3	0	0	0	0	0	12	0	6	0	0	0	0	0	0	4	0	0
AC002127.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	3	6	4	4	0	8	37	0	0	0	4	2	3	0	0	1	0	2	0	4
AC002128.2	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.1	17	4	5	0	0	4	23	0	30	0	4	2	3	2	0	0	0	15	0	4
AC002310.2	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC002310.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	4	1	2	0	0	2	4	0	22	0	0	2	0	0	0	0	0	13	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002347.1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AC002347.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.2	4	2	2	0	0	3	0	0	3	0	0	3	1	0	0	0	0	5	0	0
AC002351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002359.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002377.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002381.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.1	2	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	3	0	0
AC002398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002401.2	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002401.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002407.1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002456.1	4	3	4	0	0	2	13	3	8	0	4	5	1	0	0	4	1	5	0	6
AC002456.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002460.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002460.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002464.1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
AC002465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
