	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ABCB4	66	18	35	0	13	102	245	0	54	0	53	71	15	8	5	4	2	173	1	106	1	11
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	10	5	1	0	0	0	17	0	11	0	0	1	5	0	0	0	0	0	0	6	0	0
ABCB7	219	133	97	22	7	103	308	19	342	37	58	200	85	48	10	12	26	124	9	316	63	33
ABCB8	228	94	74	13	4	58	193	3	657	0	25	98	85	30	4	9	25	77	10	374	0	7
ABCB9	73	63	20	11	9	10	19	6	77	6	5	30	55	7	5	2	0	8	16	41	8	11
ABCC1	236	90	92	12	11	85	255	4	153	0	36	177	50	47	6	0	13	96	1	580	0	28
ABCC10	199	110	64	0	17	94	226	0	188	0	30	141	55	23	10	3	17	76	1	277	0	3
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	18	6	7	0	9	19	86	0	11	0	23	19	4	7	0	0	5	38	0	31	0	1
ABCC3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	4	0	0
ABCC4	32	11	4	0	0	9	23	0	20	0	18	26	4	4	0	0	3	26	0	66	0	0
ABCC5	283	204	155	10	62	187	238	165	62	180	121	328	118	175	0	57	65	149	78	194	380	205
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC6	0	2	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	4	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	118	33	28	0	5	16	50	0	132	0	18	51	21	10	4	6	8	16	0	132	0	4
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	20	15	0	0	0	0	2	0	4	0	0	27	1	1	0	0	0	5	0	32	0	0
ABCD3	189	107	48	2	19	64	163	39	107	29	20	177	73	38	8	7	32	19	24	215	62	49
ABCD4	348	98	118	16	21	144	458	5	647	6	71	205	85	31	19	21	44	173	12	589	4	17
ABCE1	485	327	208	37	100	334	457	196	450	188	160	521	177	192	18	107	147	230	72	831	400	206
ABCF1	377	197	184	9	13	211	452	2	904	0	101	286	144	65	10	11	7	143	14	992	0	22
ABCF2	74	44	41	11	14	42	110	1	455	0	37	44	40	22	1	1	0	43	3	253	0	1
ABCF2-H2BE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P1	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	338	136	126	5	6	155	366	2	641	0	51	209	114	44	21	0	24	73	7	516	0	32
ABCG1	66	15	10	0	4	2	44	2	78	1	26	63	17	8	0	1	2	13	2	99	0	2
ABCG2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0
ABCG4	0	1	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	3	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABHD1	5	1	0	0	0	5	2	0	0	0	6	3	0	1	0	0	0	0	1	5	0	0
ABHD10	190	83	49	6	9	70	221	4	307	0	31	171	48	16	12	9	11	82	3	322	2	3
ABHD11	49	15	24	0	0	15	80	0	262	0	10	34	13	3	0	0	0	20	0	137	0	0
ABHD11-AS1	2	1	0	0	0	0	0	0	4	0	0	2	3	0	0	0	0	0	0	2	0	0
ABHD12	236	91	81	15	8	54	157	4	409	26	27	110	79	33	6	4	12	51	9	300	21	14
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	92	49	32	0	5	41	74	0	65	0	19	95	10	11	2	9	0	82	0	129	0	3
ABHD14A	51	9	15	0	0	12	21	0	87	0	14	25	5	3	0	0	0	11	0	55	0	2
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	554	133	153	40	36	118	480	3	1429	0	63	335	138	45	5	0	10	132	5	756	0	11
ABHD15	220	56	65	0	4	65	187	0	224	0	29	129	26	19	6	0	16	76	0	331	0	13
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	6	2	1	0	0	7	8	0	2	0	0	1	1	1	0	0	1	0	0	5	3	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	1213	345	388	0	37	281	914	5	2725	0	118	660	280	122	12	27	44	287	20	1861	2	38
ABHD17AP1	5	2	1	0	0	1	1	0	14	0	0	3	2	0	0	0	0	5	0	6	0	0
ABHD17AP3	1	0	1	0	0	0	0	0	4	0	0	3	1	0	0	0	0	2	0	0	0	0
ABHD17AP4	1	2	1	0	0	0	35	0	2	0	0	0	1	1	0	0	0	8	0	6	0	0
ABHD17AP5	73	8	9	7	0	45	52	0	20	0	8	52	9	4	0	0	13	23	0	35	0	6
ABHD17AP6	3	0	2	0	0	0	4	0	6	0	0	1	1	2	0	0	0	0	0	1	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	234	123	57	0	26	84	194	65	75	71	49	197	88	49	12	34	43	83	49	243	102	69
ABHD17C	242	120	90	5	17	112	58	140	12	102	20	128	100	93	1	55	30	13	69	105	219	97
ABHD18	79	47	25	0	8	27	84	0	43	0	11	74	38	9	0	7	7	29	7	112	0	0
ABHD2	211	139	99	6	29	128	249	38	182	61	48	213	59	73	12	11	40	159	18	516	88	36
ABHD3	152	92	40	0	2	22	117	0	111	0	8	150	71	23	0	0	13	59	2	203	0	3
ABHD4	329	107	132	0	11	67	250	15	246	8	31	200	102	32	0	7	7	56	11	225	18	10
ABHD5	28	18	5	0	0	5	22	0	44	0	4	25	10	5	0	0	0	4	0	54	0	0
ABHD6	83	35	25	0	10	26	148	0	160	0	49	63	22	10	0	4	0	44	2	105	0	3
ABHD8	132	56	51	7	0	48	122	0	307	0	28	63	46	16	0	0	6	41	1	210	0	0
ABI1	848	430	316	28	45	399	755	259	526	193	207	797	289	237	24	122	109	301	107	1033	305	151
ABI1P1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABI2	151	56	51	8	5	82	129	19	150	17	46	151	31	23	7	23	30	92	5	259	41	24
ABI3	425	93	181	22	5	53	136	3	1757	0	8	208	110	27	4	0	0	13	5	1023	0	5
ABI3BP	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0
ABITRAM	50	27	18	7	0	10	45	0	65	0	5	57	10	15	0	0	0	4	0	108	0	5
ABITRAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	422	227	217	21	40	172	478	87	368	63	140	290	146	118	27	40	66	113	53	492	109	64
ABL2	148	117	84	0	42	191	228	136	51	132	52	172	43	88	5	61	68	152	15	213	326	128
ABLIM1	794	247	297	33	37	436	1132	10	496	7	171	695	135	146	11	45	48	849	18	1061	14	76
ABLIM2	13	1	4	0	4	6	45	0	18	2	11	5	0	3	0	0	2	19	0	36	0	11
ABLIM3	19	8	9	0	0	0	6	0	4	3	1	9	4	8	0	2	1	1	6	9	6	1
ABO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	267	151	120	4	18	175	372	26	132	21	88	205	65	57	14	27	30	191	14	430	67	30
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	222	75	89	7	0	54	177	1	602	0	25	145	47	25	7	9	0	70	0	645	0	6
ABRAXAS1	39	29	15	0	0	46	88	0	35	0	17	39	10	10	0	0	4	34	0	67	0	4
ABRAXAS2	260	156	118	10	16	165	210	85	265	68	46	240	97	86	5	40	30	90	40	323	110	50
ABT1	354	123	130	6	17	118	333	0	782	0	36	235	74	37	11	6	14	108	7	625	0	11
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	436	93	186	19	16	151	598	1	735	0	73	308	88	80	31	14	36	286	15	819	0	24
ABTB2	190	134	128	0	8	65	162	13	126	6	22	101	125	30	0	0	0	7	3	113	61	20
AC000032.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000061.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0
AC000068.2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC000068.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000072.1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC000077.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.1	0	1	1	0	0	2	6	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0
AC000081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000082.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000085.1	0	1	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0
AC000089.1	21	8	1	2	1	1	7	0	32	0	0	7	8	0	2	0	0	2	0	10	0	0
AC000093.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000113.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC000120.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AC000120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.1	4	6	0	0	5	2	13	0	3	0	0	4	0	1	0	0	0	8	0	16	0	0
AC000123.2	2	1	0	0	0	3	9	0	8	0	4	3	0	0	0	0	0	0	0	8	0	0
AC000123.3	15	8	2	0	0	17	40	0	0	0	5	15	1	2	0	3	7	40	0	14	0	0
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001226.1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0
AC001226.2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AC002044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002056.1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002056.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.1	0	0	1	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0
AC002059.2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
AC002059.3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC002064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002064.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002074.1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AC002074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.2	10	3	4	0	0	0	0	0	14	0	1	6	0	0	2	0	0	0	0	3	1	0
AC002076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002076.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002091.1	8	9	3	5	0	4	7	0	4	0	5	7	6	1	0	3	0	4	0	13	0	0
AC002091.2	11	12	2	0	0	1	5	0	0	0	4	4	1	0	0	0	4	0	0	7	0	0
AC002094.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0
AC002101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	3	1	3	0	0	0	0	0	12	0	6	3	0	0	0	0	0	0	0	2	0	0
AC002127.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	3	6	4	4	0	8	37	0	0	0	4	5	2	1	0	0	0	10	0	7	0	0
AC002128.2	1	0	0	0	0	0	4	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0
AC002306.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002310.1	17	4	5	0	0	4	23	0	30	0	4	10	4	3	0	0	0	20	0	22	0	0
AC002310.2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	4	1	2	0	0	2	4	0	22	0	0	0	1	4	0	0	0	0	1	16	0	4
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
AC002347.1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002347.2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.2	4	2	2	0	0	3	0	0	3	0	0	2	1	1	0	0	0	4	0	14	0	0
AC002351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002359.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002377.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
