	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
AASDHPPT	56	70	6	14	3	2	142	0	16	135	47	17	1	7	7	50	0	242	0	2
AASS	9	3	3	7	14	8	29	0	18	35	3	10	0	6	11	72	1	29	0	4
AATBC	0	3	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	3	0	0
AATF	83	144	34	30	30	4	671	0	29	260	144	44	29	4	9	122	10	883	0	2
AATK	7	1	1	0	0	0	14	0	0	17	3	3	0	0	0	0	2	24	0	0
ABALON	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0
ABAT	32	37	5	0	15	1	74	0	3	70	30	10	0	4	10	55	2	90	0	14
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABBA01006766.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	5	0	4	15	7	0	21	1	7	26	3	5	0	0	0	36	0	23	1	10
ABCA10	4	3	0	0	0	0	4	0	0	14	0	1	0	0	0	5	0	10	0	2
ABCA11P	1	0	0	0	0	0	2	0	3	4	0	0	0	0	0	6	0	0	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ABCA2	114	89	60	21	40	77	348	56	46	229	43	88	12	20	55	166	68	497	89	65
ABCA3	14	8	5	0	0	6	86	0	7	26	9	13	0	4	5	24	0	88	0	4
ABCA4	0	1	1	0	0	1	0	5	1	1	1	0	0	0	0	0	1	1	3	4
ABCA5	57	91	12	9	5	33	86	22	24	198	46	37	5	18	8	62	9	122	35	42
ABCA6	6	26	1	0	0	0	13	0	0	28	19	5	0	0	0	3	3	13	0	0
ABCA7	516	555	67	75	124	31	817	0	166	1078	400	157	43	43	88	740	20	983	1	72
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	4	7	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	27	6	14	4	4	9	89	6	4	46	4	26	7	3	12	128	1	170	7	10
ABCB10	39	37	7	13	6	8	180	0	8	99	19	19	7	4	27	98	2	228	0	3
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ABCB4	28	19	12	0	20	8	89	0	29	71	15	8	5	4	2	173	1	106	1	11
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	3	4	1	0	4	0	1	0	0	1	5	0	0	0	0	0	0	6	0	0
ABCB7	75	101	31	10	45	23	194	63	25	200	85	48	10	12	26	124	9	316	63	33
ABCB8	52	80	20	0	25	10	310	0	4	98	85	30	4	9	25	77	10	374	0	7
ABCB9	23	71	5	7	0	2	35	20	7	30	55	7	5	2	0	8	16	41	8	11
ABCC1	80	57	16	15	35	2	491	0	15	177	50	47	6	0	13	96	1	580	0	28
ABCC10	48	83	14	6	19	0	231	0	12	141	55	23	10	3	17	76	1	277	0	3
ABCC11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	8	11	1	0	9	2	26	0	3	19	4	7	0	0	5	38	0	31	0	1
ABCC3	0	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	4	0	0
ABCC4	10	14	3	0	0	5	62	0	0	26	4	4	0	0	3	26	0	66	0	0
ABCC5	179	185	111	11	115	181	230	311	105	328	118	175	0	57	65	149	78	194	380	205
ABCC5-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	44	23	5	4	3	4	109	0	0	51	21	10	4	6	8	16	0	132	0	4
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	9	9	0	0	0	0	28	0	0	27	1	1	0	0	0	5	0	32	0	0
ABCD3	103	92	22	6	50	24	175	53	37	177	73	38	8	7	32	19	24	215	62	49
ABCD4	96	121	35	2	29	15	473	5	34	205	85	31	19	21	44	173	12	589	4	17
ABCE1	222	231	101	38	229	96	595	267	133	521	177	192	18	107	147	230	72	831	400	206
ABCF1	102	150	45	22	39	11	662	0	26	286	144	65	10	11	7	143	14	992	0	22
ABCF2	23	30	9	0	12	4	183	2	10	44	40	22	1	1	0	43	3	253	0	1
ABCF2-H2BE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	94	106	47	0	24	2	415	0	18	209	114	44	21	0	24	73	7	516	0	32
ABCG1	33	22	2	0	7	5	102	1	1	63	17	8	0	1	2	13	2	99	0	2
ABCG2	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0
ABCG4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABHD1	0	1	0	0	0	0	6	0	0	3	0	1	0	0	0	0	1	5	0	0
ABHD10	54	63	14	7	22	3	226	0	14	171	48	16	12	9	11	82	3	322	2	3
ABHD11	14	16	6	0	2	0	121	0	0	34	13	3	0	0	0	20	0	137	0	0
ABHD11-AS1	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	0	0	2	0	0
ABHD12	48	82	24	0	23	17	252	17	29	110	79	33	6	4	12	51	9	300	21	14
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	37	46	4	6	15	0	94	0	1	95	10	11	2	9	0	82	0	129	0	3
ABHD14A	6	14	3	0	10	3	31	0	4	25	5	3	0	0	0	11	0	55	0	2
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	142	118	51	27	18	25	603	1	20	335	138	45	5	0	10	132	5	756	0	11
ABHD15	64	54	11	0	9	2	228	0	6	129	26	19	6	0	16	76	0	331	0	13
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	6	8	1	0	0	0	14	0	0	1	1	1	0	0	1	0	0	5	3	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	359	326	87	34	62	9	1614	0	44	660	280	122	12	27	44	287	20	1861	2	38
ABHD17AP1	1	3	1	1	2	0	3	0	0	3	2	0	0	0	0	5	0	6	0	0
ABHD17AP3	1	1	0	0	0	0	3	0	0	3	1	0	0	0	0	2	0	0	0	0
ABHD17AP4	0	2	0	5	0	0	7	0	0	0	1	1	0	0	0	8	0	6	0	0
ABHD17AP5	16	7	1	0	18	0	29	0	8	52	9	4	0	0	13	23	0	35	0	6
ABHD17AP6	2	0	0	0	0	0	2	0	0	1	1	2	0	0	0	0	0	1	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	143	126	43	7	78	46	177	77	39	197	88	49	12	34	43	83	49	243	102	69
ABHD17C	129	105	75	9	72	76	137	155	35	128	100	93	1	55	30	13	69	105	219	97
ABHD18	32	28	1	0	7	0	102	0	4	74	38	9	0	7	7	29	7	112	0	0
ABHD2	66	85	32	9	34	16	386	70	35	213	59	73	12	11	40	159	18	516	88	36
ABHD3	81	72	6	0	4	2	145	0	0	150	71	23	0	0	13	59	2	203	0	3
ABHD4	78	94	20	0	22	10	183	18	24	200	102	32	0	7	7	56	11	225	18	10
ABHD5	5	12	1	0	0	0	57	1	2	25	10	5	0	0	0	4	0	54	0	0
ABHD6	29	27	2	0	4	0	105	0	6	63	22	10	0	4	0	44	2	105	0	3
ABHD8	39	63	15	0	6	5	184	0	5	63	46	16	0	0	6	41	1	210	0	0
ABI1	349	380	167	52	169	161	687	246	168	797	289	237	24	122	109	301	107	1033	305	151
ABI1P1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABI2	56	54	16	0	31	16	165	26	18	151	31	23	7	23	30	92	5	259	41	24
ABI3	91	85	19	8	7	1	723	0	12	208	110	27	4	0	0	13	5	1023	0	5
ABI3BP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0
ABITRAM	16	10	2	0	0	1	67	0	4	57	10	15	0	0	0	4	0	108	0	5
ABITRAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	116	167	66	10	55	40	420	81	82	290	146	118	27	40	66	113	53	492	109	64
ABL2	80	96	40	9	119	73	176	173	95	172	43	88	5	61	68	152	15	213	326	128
ABLIM1	234	150	82	12	128	18	897	10	93	695	135	146	11	45	48	849	18	1061	14	76
ABLIM2	2	2	6	0	4	0	55	1	0	5	0	3	0	0	2	19	0	36	0	11
ABLIM3	5	2	2	1	0	1	2	12	0	9	4	8	0	2	1	1	6	9	6	1
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	75	85	42	30	54	35	346	48	45	205	65	57	14	27	30	191	14	430	67	30
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	88	85	30	20	18	6	456	0	0	145	47	25	7	9	0	70	0	645	0	6
ABRAXAS1	25	30	0	0	15	0	50	0	2	39	10	10	0	0	4	34	0	67	0	4
ABRAXAS2	94	123	49	20	38	44	226	92	41	240	97	86	5	40	30	90	40	323	110	50
ABT1	122	105	40	0	13	2	491	0	4	235	74	37	11	6	14	108	7	625	0	11
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	147	125	67	16	61	9	706	0	35	308	88	80	31	14	36	286	15	819	0	24
ABTB2	38	81	9	15	7	8	86	27	28	101	125	30	0	0	0	7	3	113	61	20
AC000032.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000061.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	0	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0
AC000068.2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AC000068.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000072.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC000077.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	5	0	0
AC000081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000082.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000085.1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
AC000089.1	1	5	2	1	0	3	7	0	2	7	8	0	2	0	0	2	0	10	0	0
AC000093.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000113.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC000120.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AC000120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.1	1	0	0	0	0	0	8	0	0	4	0	1	0	0	0	8	0	16	0	0
AC000123.2	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	8	0	0
AC000123.3	4	6	3	0	0	1	12	0	10	15	1	2	0	3	7	40	0	14	0	0
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001226.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0
AC001226.2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AC002044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002056.1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002056.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0
AC002059.2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0
AC002059.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC002064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002064.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002074.1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AC002074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.2	1	1	2	2	2	1	5	0	2	6	0	0	2	0	0	0	0	3	1	0
AC002076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002076.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002091.1	2	1	0	0	0	0	2	0	3	7	6	1	0	3	0	4	0	13	0	0
AC002091.2	2	4	0	0	4	0	3	0	3	4	1	0	0	0	4	0	0	7	0	0
AC002094.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.5	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	8	0	0	0	0
AC002101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	2	0	0
AC002127.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	2	3	0	0	1	0	2	0	4	5	2	1	0	0	0	10	0	7	0	0
AC002128.2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0
AC002306.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002310.1	2	3	2	0	0	0	15	0	4	10	4	3	0	0	0	20	0	22	0	0
AC002310.2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	2	0	0	0	0	0	13	0	0	0	1	4	0	0	0	0	1	16	0	4
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
AC002347.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002347.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.2	3	1	0	0	0	0	5	0	0	2	1	1	0	0	0	4	0	14	0	0
AC002351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002359.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002377.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002381.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.1	1	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	2	0	0
AC002398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002401.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
AC002401.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002407.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002456.1	5	1	0	0	4	1	5	0	6	6	1	2	0	0	0	14	0	0	0	0
AC002456.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002460.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002460.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0
AC002463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002464.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.1	2	1	0	0	0	0	11	0	0	8	2	0	0	0	0	4	0	7	0	0
